"","q16","reltrad","income"
"16023"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16024"," Roman Catholic "," Catholic ","100 to under $150,000"
"16025"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16026"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16027"," Roman Catholic "," Catholic ","30 to under $40,000"
"16028"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16029"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16030"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16031"," Roman Catholic "," Catholic ","100 to under $150,000"
"16032"," Agnostic (not sure if there is a God) "," Unaffiliated ","$150,000 or more"
"16033"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16034"," Christian (VOL) "," Historically Black Protestant Churches ","30 to under $40,000"
"16035"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16036"," Roman Catholic "," Catholic ","10 to under $20,000"
"16037"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16038"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16039"," Protestant "," Historically Black Protestant Churches ","75 to under $100,000"
"16040"," Roman Catholic "," Catholic ","$150,000 or more"
"16041"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16042"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16043"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16044"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"16045"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16046"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16047"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16048"," Unitarian (Universalist) (VOL) "," Other Faiths ","40 to under $50,000"
"16049"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"16050"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"16051"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16052"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16053"," Not Interpretable "," Don’t know/refused (no information on religious affiliation) ","50 to under $75,000"
"16054"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16055"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"16056"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16057"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16058"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16059"," Roman Catholic "," Catholic ","10 to under $20,000"
"16060"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"16061"," Roman Catholic "," Catholic ","20 to under $30,000"
"16062"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"16063"," Roman Catholic "," Catholic ","75 to under $100,000"
"16064"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16065"," Orthodox (Greek, Russian, or some other orthodox church) "," Orthodox ","Don't know/Refused (VOL.)"
"16066"," Agnostic (not sure if there is a God) "," Unaffiliated ","20 to under $30,000"
"16067"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16068"," Atheist (do not believe in God) "," Unaffiliated ","$150,000 or more"
"16069"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16070"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16071"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16072"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16073"," Roman Catholic "," Catholic ","75 to under $100,000"
"16074"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16075"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16076"," Roman Catholic "," Catholic ","40 to under $50,000"
"16077"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16078"," Roman Catholic "," Catholic ","40 to under $50,000"
"16079"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16080"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16081"," Native American Religions (VOL) "," Other Faiths ","Don't know/Refused (VOL.)"
"16082"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16083"," Muslim (Islam) "," Muslim ","Don't know/Refused (VOL.)"
"16084"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"16085"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"16086"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"16087"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16088"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16089"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","20 to under $30,000"
"16090"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"16091"," Roman Catholic "," Catholic ","10 to under $20,000"
"16092"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16093"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16094"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16095"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16096"," Roman Catholic "," Catholic ","20 to under $30,000"
"16097"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16098"," Roman Catholic "," Catholic ","10 to under $20,000"
"16099"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16100"," Roman Catholic "," Catholic ","75 to under $100,000"
"16101"," Roman Catholic "," Catholic ","50 to under $75,000"
"16102"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16103"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16104"," Atheist (do not believe in God) "," Unaffiliated ","50 to under $75,000"
"16105"," Roman Catholic "," Catholic ","50 to under $75,000"
"16106"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16107"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16108"," Roman Catholic "," Catholic ","50 to under $75,000"
"16109"," Roman Catholic "," Catholic ","20 to under $30,000"
"16110"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16111"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16112"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16113"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16114"," Hindu "," Hindu ","$150,000 or more"
"16115"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16116"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16117"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16118"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16119"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16120"," Christian (VOL) "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16121"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"16122"," Roman Catholic "," Catholic ","10 to under $20,000"
"16123"," Orthodox (Greek, Russian, or some other orthodox church) "," Orthodox ","75 to under $100,000"
"16124"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16125"," Spiritual but not religious (VOL) "," Other Faiths ","50 to under $75,000"
"16126"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16127"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16128"," Roman Catholic "," Catholic ","100 to under $150,000"
"16129"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"16130"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16131"," Roman Catholic "," Catholic ","Less than $10,000"
"16132"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"16133"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16134"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16135"," Roman Catholic "," Catholic ","100 to under $150,000"
"16136"," Pagan (VOL) "," Other Faiths ","100 to under $150,000"
"16137"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16138"," Agnostic (not sure if there is a God) "," Unaffiliated ","$150,000 or more"
"16139"," Roman Catholic "," Catholic ","50 to under $75,000"
"16140"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16141"," Roman Catholic "," Catholic ","100 to under $150,000"
"16142"," Roman Catholic "," Catholic ","100 to under $150,000"
"16143"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","100 to under $150,000"
"16144"," Protestant "," Historically Black Protestant Churches ","$150,000 or more"
"16145"," Roman Catholic "," Catholic ","30 to under $40,000"
"16146"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16147"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16148"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"16149"," Roman Catholic "," Catholic ","20 to under $30,000"
"16150"," Roman Catholic "," Catholic ","$150,000 or more"
"16151"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16152"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16153"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16154"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"16155"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"16156"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"16157"," Roman Catholic "," Catholic ","$150,000 or more"
"16158"," Roman Catholic "," Catholic ","50 to under $75,000"
"16159"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16160"," Roman Catholic "," Catholic ","$150,000 or more"
"16161"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"16162"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16163"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16164"," Roman Catholic "," Catholic ","100 to under $150,000"
"16165"," Hindu "," Hindu ","75 to under $100,000"
"16166"," Roman Catholic "," Catholic ","$150,000 or more"
"16167"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16168"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16169"," Roman Catholic "," Catholic ","100 to under $150,000"
"16170"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16171"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"16172"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"16173"," Atheist (do not believe in God) "," Unaffiliated ","40 to under $50,000"
"16174"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16175"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16176"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"16177"," Roman Catholic "," Catholic ","50 to under $75,000"
"16178"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16179"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16180"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"16181"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16182"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16183"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"16184"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16185"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"16186"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16187"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16188"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"16189"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16190"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16191"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16192"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16193"," Unitarian (Universalist) (VOL) "," Other Faiths ","Don't know/Refused (VOL.)"
"16194"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16195"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16196"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16197"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16198"," Roman Catholic "," Catholic ","50 to under $75,000"
"16199"," Jewish (Judaism) "," Jewish ","20 to under $30,000"
"16200"," Roman Catholic "," Catholic ","75 to under $100,000"
"16201"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16202"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16203"," Roman Catholic "," Catholic ","40 to under $50,000"
"16204"," Buddhist "," Buddhist ","40 to under $50,000"
"16205"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16206"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16207"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"16208"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"16209"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16210"," Atheist (do not believe in God) "," Unaffiliated ","20 to under $30,000"
"16211"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16212"," Roman Catholic "," Catholic ","100 to under $150,000"
"16213"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16214"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"16215"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16216"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16217"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"16218"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","100 to under $150,000"
"16219"," Christian (VOL) "," Mainline Protestant Churches ","40 to under $50,000"
"16220"," Roman Catholic "," Catholic ","75 to under $100,000"
"16221"," Roman Catholic "," Catholic ","30 to under $40,000"
"16222"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"16223"," Roman Catholic "," Catholic ","75 to under $100,000"
"16224"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"16225"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16226"," Agnostic (not sure if there is a God) "," Unaffiliated ","40 to under $50,000"
"16227"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16228"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16229"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16230"," Roman Catholic "," Catholic ","100 to under $150,000"
"16231"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"16232"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16233"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"16234"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16235"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16236"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16237"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16238"," Roman Catholic "," Catholic ","100 to under $150,000"
"16239"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"16240"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16241"," Roman Catholic "," Catholic ","50 to under $75,000"
"16242"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","20 to under $30,000"
"16243"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16244"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16245"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16246"," Christian (VOL) "," Evangelical Protestant Churches ","50 to under $75,000"
"16247"," Roman Catholic "," Catholic ","$150,000 or more"
"16248"," Hindu "," Hindu ","Don't know/Refused (VOL.)"
"16249"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16250"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16251"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16252"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16253"," Roman Catholic "," Catholic ","100 to under $150,000"
"16254"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16255"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16256"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16257"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"16258"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16259"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16260"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16261"," Atheist (do not believe in God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"16262"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16263"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16264"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16265"," Sikh (VOL) "," Other World Religions ","100 to under $150,000"
"16266"," Roman Catholic "," Catholic ","$150,000 or more"
"16267"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16268"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16269"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16270"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16271"," Jewish (Judaism) "," Jewish ","50 to under $75,000"
"16272"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16273"," Agnostic (not sure if there is a God) "," Unaffiliated ","10 to under $20,000"
"16274"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16275"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16276"," Buddhist "," Buddhist ","30 to under $40,000"
"16277"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16278"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16279"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16280"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16281"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16282"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16283"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16284"," Roman Catholic "," Catholic ","30 to under $40,000"
"16285"," Roman Catholic "," Catholic ","50 to under $75,000"
"16286"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16287"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16288"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16289"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16290"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16291"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16292"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16293"," Roman Catholic "," Catholic ","$150,000 or more"
"16294"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16295"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16296"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"16297"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"16298"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16299"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"16300"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16301"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16302"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"16303"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"16304"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16305"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"16306"," Not Interpretable "," Don’t know/refused (no information on religious affiliation) ","20 to under $30,000"
"16307"," Native American Religions (VOL) "," Other Faiths ","75 to under $100,000"
"16308"," Agnostic (not sure if there is a God) "," Unaffiliated ","$150,000 or more"
"16309"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"16310"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16311"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16312"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16313"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"16314"," Roman Catholic "," Catholic ","$150,000 or more"
"16315"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16316"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16317"," Unitarian (Universalist) (VOL) "," Other Faiths ","Don't know/Refused (VOL.)"
"16318"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16319"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16320"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16321"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"16322"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"16323"," Roman Catholic "," Catholic ","Less than $10,000"
"16324"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16325"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16326"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"16327"," Roman Catholic "," Catholic ","10 to under $20,000"
"16328"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"16329"," Roman Catholic "," Catholic ","10 to under $20,000"
"16330"," Roman Catholic "," Catholic ","100 to under $150,000"
"16331"," Roman Catholic "," Catholic ","40 to under $50,000"
"16332"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"16333"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"16334"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"16335"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16336"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16337"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16338"," Roman Catholic "," Catholic ","75 to under $100,000"
"16339"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"16340"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","50 to under $75,000"
"16341"," Roman Catholic "," Catholic ","20 to under $30,000"
"16342"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"16343"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16344"," Roman Catholic "," Catholic ","10 to under $20,000"
"16345"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16346"," Roman Catholic "," Catholic ","$150,000 or more"
"16347"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16348"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16349"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16350"," Atheist (do not believe in God) "," Unaffiliated ","75 to under $100,000"
"16351"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"16352"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16353"," Liberal faith (VOL) "," Other Faiths ","20 to under $30,000"
"16354"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16355"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16356"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"16357"," Roman Catholic "," Catholic ","50 to under $75,000"
"16358"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16359"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"16360"," Roman Catholic "," Catholic ","20 to under $30,000"
"16361"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16362"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"16363"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16364"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16365"," Roman Catholic "," Catholic ","100 to under $150,000"
"16366"," Roman Catholic "," Catholic ","40 to under $50,000"
"16367"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16368"," Agnostic (not sure if there is a God) "," Unaffiliated ","100 to under $150,000"
"16369"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"16370"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"16371"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"16372"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16373"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"16374"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16375"," Roman Catholic "," Catholic ","50 to under $75,000"
"16376"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"16377"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"16378"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16379"," Roman Catholic "," Catholic ","10 to under $20,000"
"16380"," Roman Catholic "," Catholic ","75 to under $100,000"
"16381"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16382"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"16383"," Roman Catholic "," Catholic ","100 to under $150,000"
"16384"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16385"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16386"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16387"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16388"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"16389"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"16390"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"16391"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"16392"," Unitarian (Universalist) (VOL) "," Other Faiths ","Don't know/Refused (VOL.)"
"16393"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","Less than $10,000"
"16394"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"16395"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"16396"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16397"," Roman Catholic "," Catholic ","40 to under $50,000"
"16398"," Christian (VOL) "," Mainline Protestant Churches ","$150,000 or more"
"16399"," Hindu "," Hindu ","50 to under $75,000"
"16400"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16401"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"16402"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"16403"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"16404"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16405"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16406"," Jewish (Judaism) "," Jewish ","Less than $10,000"
"16407"," Roman Catholic "," Catholic ","$150,000 or more"
"16408"," Roman Catholic "," Catholic ","100 to under $150,000"
"16409"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"16410"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"16411"," Roman Catholic "," Catholic ","100 to under $150,000"
"16412"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"16413"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"16414"," Roman Catholic "," Catholic ","40 to under $50,000"
"16415"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"16416"," Roman Catholic "," Catholic ","Less than $10,000"
"16417"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"16418"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"16419"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
